id,identifier,flavor_text
1,stench,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
2,drizzle,The Pokémon makes it rain when it enters a battle.
3,speed-boost,The Pokémon's Speed stat is boosted every turn.
4,battle-armor,Hard armor protects the Pokémon from critical hits.
5,sturdy,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
6,damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
7,limber,The Pokémon's limber body prevents it from being paralyzed.
8,sand-veil,Boosts the Pokémon's evasiveness in a sandstorm.
9,static,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
10,volt-absorb,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
11,water-absorb,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
12,oblivious,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
13,cloud-nine,Eliminates the effects of weather.
14,compound-eyes,The Pokémon's compound eyes boost its accuracy.
15,insomnia,The Pokémon's insomnia prevents it from falling asleep.
16,color-change,"The Pokémon’s type becomes the type of the move
used on it."
17,immunity,The Pokémon's immune system prevents it from being poisoned.
18,flash-fire,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
19,shield-dust,Protective dust shields the Pokémon from the additional effects of moves.
20,own-tempo,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
21,suction-cups,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
22,intimidate,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
23,shadow-tag,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.
24,rough-skin,The Pokémon's rough skin damages attackers that make direct contact with it.
25,wonder-guard,"Its mysterious power only lets supereffective moves
hit the Pokémon."
26,levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
