id,identifier,effect
1,master-ball,Catches a wild Pokémon every time.
2,ultra-ball,Tries to catch a wild Pokémon.  Success rate is 2×.
3,great-ball,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,poke-ball,Tries to catch a wild Pokémon.
5,safari-ball,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,net-ball,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,dive-ball,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,nest-ball,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,repeat-ball,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,timer-ball,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,luxury-ball,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,premier-ball,Tries to catch a wild Pokémon.
13,dusk-ball,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,heal-ball,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,quick-ball,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,cherish-ball,Tries to catch a wild Pokémon.
17,potion,Restores 20 HP.
18,antidote,Cures poison.
19,burn-heal,Cures a burn.
20,ice-heal,Cures freezing.
21,awakening,Cures sleep.
22,paralyze-heal,Cures paralysis.
23,full-restore,Restores HP to full and cures any status ailment and confusion.
24,max-potion,Restores HP to full.
25,hyper-potion,Restores 200 HP.
26,super-potion,Restores 50 HP.
27,full-heal,Cures any status ailment and confusion.
28,revive,Revives with half HP.
29,max-revive,Revives with full HP.
30,fresh-water,Restores 50 HP.
31,soda-pop,Restores 60 HP.
32,lemonade,Restores 80 HP.
33,moomoo-milk,Restores 100 HP.
34,energy-powder,"Restores 50 HP, but lowers happiness."
35,energy-root,"Restores 200 HP, but lowers happiness."
36,heal-powder,"Cures any status ailment, but lowers happiness."
37,revival-herb,"Revives with full HP, but lowers happiness."
38,ether,Restores 10 PP for one move.
39,max-ether,Restores PP to full for one move.
40,elixir,Restores 10 PP for each move.
41,max-elixir,Restores PP to full for each move.
42,lava-cookie,Cures any status ailment and confusion.
43,berry-juice,Restores 20 HP.
44,sacred-ash,Revives all fainted Pokémon with full HP.
45,hp-up,Raises HP effort and happiness.
46,protein,Raises Attack effort and happiness.
47,iron,Raises Defense effort and happiness.
48,carbos,Raises Speed effort and happiness.
49,calcium,Raises Special Attack effort and happiness.
50,rare-candy,Causes a level-up and raises happiness.
51,pp-up,Raises a move's max PP by 20%.
52,zinc,Raises Special Defense and happiness.
53,pp-max,Raises a move's max PP by 60%.
54,old-gateau,Cures any status ailment and confusion.
55,guard-spec,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,dire-hit,Increases the chance of a critical hit in battle.  Raises happiness.
57,x-attack,Raises Attack by one stage in battle.  Raises happiness.
58,x-defense,Raises Defense by one stage in battle.  Raises happiness.
59,x-speed,Raises Speed by one stage in battle.  Raises happiness.
60,x-accuracy,Raises accuracy by one stage in battle.  Raises happiness.
61,x-sp-atk,Raises Special Attack by one stage in battle.  Raises happiness.
62,x-sp-def,Raises Special Defense by one stage in battle.  Raises happiness.
63,poke-doll,Ends a wild battle.
64,fluffy-tail,Ends a wild battle.
65,blue-flute,Cures sleep.
66,yellow-flute,Cures confusion.
67,red-flute,Cures attraction.
68,black-flute,Halves the wild Pokémon encounter rate.
69,white-flute,Doubles the wild Pokémon encounter rate.
112,adamant-orb,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.
113,lustrous-orb,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.
126,cheri-berry,Held: Consumed when paralyzed to cure paralysis.
127,chesto-berry,Held: Consumed when asleep to cure sleep.
128,pecha-berry,Held: Consumed when poisoned to cure poison.
129,rawst-berry,Held: Consumed when burned to cure a burn.
130,aspear-berry,Held: Consumed when frozen to cure frozen.
131,leppa-berry,Held: Consumed when a move runs out of PP to restore its PP by 10.
132,oran-berry,Held: Consumed at 1/2 max HP to recover 10 HP.
133,persim-berry,Held: Consumed when confused to cure confusion.
134,lum-berry,Held: Consumed to cure any status condition or confusion.
135,sitrus-berry,Held: Consumed at 1/2 max HP to recover 1/4 max HP.
136,figy-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.
137,wiki-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.
138,mago-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.
139,aguav-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.
140,iapapa-berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.
161,occa-berry,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.
162,passho-berry,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.
163,wacan-berry,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.
164,rindo-berry,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.
165,yache-berry,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.
166,chople-berry,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.
167,kebia-berry,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.
168,shuca-berry,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.
169,coba-berry,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.
170,payapa-berry,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.
171,tanga-berry,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.
172,charti-berry,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.
173,kasib-berry,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.
174,haban-berry,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.
175,colbur-berry,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.
176,babiri-berry,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.
177,chilan-berry,Held: Consumed when struck by a Normal-type attack to halve the damage.
178,liechi-berry,Held: Consumed at 1/4 max HP to boost Attack.
179,ganlon-berry,Held: Consumed at 1/4 max HP to boost Defense.
180,salac-berry,Held: Consumed at 1/4 max HP to boost Speed.
181,petaya-berry,Held: Consumed at 1/4 max HP to boost Special Attack.
182,apicot-berry,Held: Consumed at 1/4 max HP to boost Special Defense.
183,lansat-berry,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.
184,starf-berry,Held: Consumed at 1/4 max HP to boost a random stat by two stages.
185,enigma-berry,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.
186,micle-berry,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)
187,custap-berry,Held: Consumed at 1/4 max HP when using a move to go first.
188,jaboca-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.
189,rowap-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.
190,bright-powder,Held: Increases the holder's evasion by 1/9 (11 1/9%).
191,white-herb,Held: Resets all lowered stats to normal at end of turn. Consumed after use.
192,macho-brace,"Held: Holder gains double effort values from battles, but has halved Speed in battle."
193,exp-share,Held: Half the experience from a battle is split between Pokémon holding this item.
194,quick-claw,Held: Holder has a 3/16 (18.75%) chance to move first.
195,soothe-bell,Held: Doubles the happiness earned by the holder.
196,mental-herb,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body."
197,choice-band,"Held: Increases Attack by 50%, but restricts the holder to only one move."
198,kings-rock,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.
199,silver-powder,Held: Bug-Type moves from holder do 20% more damage.
200,amulet-coin,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.
201,cleanse-tag,Prevents wild encounters of level lower than your party's lead Pokémon.
202,soul-dew,Raises Latias and Latios's Special Attack and Special Defense by 50%.
203,deep-sea-tooth,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.
204,deep-sea-scale,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.
205,smoke-ball,Held: Allows the Holder to escape from any wild battle.
206,everstone,Held: Prevents level-based evolution from occuring.
207,focus-band,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.
208,lucky-egg,Held: Increases EXP earned in battle by 50%.
209,scope-lens,Held: Raises the holder's critical hit ratio by one stage.
210,metal-coat,Held: Steel-Type moves from holder do 20% more damage.
211,leftovers,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.
